K_cycles_per_s,analysis,condition,delta_intervention_driver_locking_plv,delta_intervention_mean_R1,delta_intervention_mean_R2,delta_intervention_mean_R4,frequency_hz,phase_offset_deg,post_driver_recovery_mean_R1,replicate,test_driver_locking_plv,test_lock_fraction,test_longest_lock_run_s,test_mean_R1
,external_driver_phase_disruption,,0.14747326416290998,0.12526961594035893,-0.0010480006754750443,-0.0015140141247876049,27.3,0,,17,,,,
,external_driver_phase_disruption,,0.1430157439923847,0.08896381556230135,0.0007528092940040643,-0.009703239252589257,27.3,0,,18,,,,
,external_driver_phase_disruption,,0.16145163092010778,0.15070163965656969,0.0740240041313948,-0.006174023458291031,27.3,0,,19,,,,
,external_driver_phase_disruption,,0.17178626519352588,0.15751916070239416,0.02663338978829921,0.0002500128039858718,27.3,0,,20,,,,
,external_driver_phase_disruption,,0.12336094236356648,0.11734656908524432,0.006990443377026256,0.033601513354894946,27.3,0,,21,,,,
,external_driver_phase_disruption,,0.12738359908560407,0.1065057192724651,0.010941582370315714,-0.017272339796995925,27.3,0,,22,,,,
,external_driver_phase_disruption,,0.16544116210514892,0.14299075684352563,0.006657489494852148,0.011792113373175914,27.3,0,,23,,,,
,external_driver_phase_disruption,,0.1884700538129509,0.17860005936136952,0.1400875446966382,-0.01971349828628137,33.8,0,,0,,,,
,external_driver_phase_disruption,,0.1414139633858873,0.13634283535312744,0.07376486548923164,-0.009826313933817568,33.8,0,,1,,,,
,external_driver_phase_disruption,,0.19007824573253593,0.16461940374849232,0.019492051108019257,0.015777539747642177,33.8,0,,2,,,,
,external_driver_phase_disruption,,0.2147653865965118,0.18560933274534466,0.017012815983920668,-0.001102846207142058,33.8,0,,3,,,,
,external_driver_phase_disruption,,0.07053110288521114,0.044908076973791594,0.0017993757610196837,0.0068796898323402605,33.8,0,,4,,,,
,external_driver_phase_disruption,,0.14867924460395934,0.12612477986413742,0.0002731024966740603,-0.011247272498360453,33.8,0,,5,,,,
,external_driver_phase_disruption,,0.1814838670157523,0.15371720946895162,-0.0006095751490064194,-0.01103328343655513,33.8,0,,6,,,,
,external_driver_phase_disruption,,0.18333898820992092,0.14528966880932873,0.004899078010717844,0.030197694472284223,33.8,0,,7,,,,
,external_driver_phase_disruption,,0.1230197402629522,0.12155787567313941,0.09611580522989359,0.009987721084103535,33.8,0,,8,,,,
,external_driver_phase_disruption,,0.17049294156537684,0.14593572605879074,0.017315952248132344,-0.0069330007016116385,33.8,0,,9,,,,
,external_driver_phase_disruption,,0.19085858841887837,0.18167748311405865,0.03423315635404084,-0.013885506543938261,33.8,0,,10,,,,
,external_driver_phase_disruption,,0.16364792547220833,0.1536290947321922,0.03009853666422864,-0.014139542895638707,33.8,0,,11,,,,
,external_driver_phase_disruption,,0.11545314645699259,0.10375079677684257,0.007103374733562026,-0.00402859556070749,33.8,0,,12,,,,
,external_driver_phase_disruption,,0.17998970467407366,0.17160985423941783,0.05921832268117046,-0.014819579027033875,33.8,0,,13,,,,
,external_driver_phase_disruption,,0.13235192119017436,0.12036828167078772,0.04409036710214832,-0.013265113938485479,33.8,0,,14,,,,
,external_driver_phase_disruption,,0.1652143943378721,0.16061454795894092,0.10626524265083628,-0.014723419910480887,33.8,0,,15,,,,
,external_driver_phase_disruption,,0.12381158921227103,0.11407973248437758,0.06904220912424569,-0.009848747452456091,33.8,0,,16,,,,
,external_driver_phase_disruption,,0.15948918197653816,0.1474532030833952,0.07649435810757908,-0.007405122937186953,33.8,0,,17,,,,
,external_driver_phase_disruption,,0.2460681296053059,0.23223447328833782,0.035291602531523567,-0.03469495017025623,33.8,0,,18,,,,
