analysis,natural_frequency_sd_hz,condition,network,network_frequency_hz,replicate,base_mean_R,stimulated_mean_R,delta_mean_R,coarse_dt_s,fine_dt_s,coarse_delta_mean_R,fine_delta_mean_R,fine_minus_coarse_delta_mean_R,absolute_delta_difference,stimulated_R_trace_rmse,scenario,n_oscillators,duration_s,baseline_delta_mean_R,delta_mean_R_minus_baseline
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,19,0.9146414542352242,0.9405264326187688,0.025884978383544532,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,20,0.7546283230417928,0.8555722529048592,0.10094392986306633,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,21,0.8455247128642525,0.9375978874407015,0.09207317457644904,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,22,0.876403069864406,0.9289850077606486,0.05258193789624266,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_7_83Hz,7.83,23,0.8892027501118029,0.9313612173046749,0.04215846719287197,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,network_10_00Hz,10.0,0,0.822367560838062,0.8272160924787422,0.00484853164068022,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,network_10_00Hz,10.0,1,0.7879092457776751,0.7884046988055221,0.000495453027847037,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,network_10_00Hz,10.0,2,0.9164704177266362,0.9166305344444972,0.0001601167178609808,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,network_10_00Hz,10.0,3,0.7337566282113603,0.7414505555741744,0.007693927362814046,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,network_10_00Hz,10.0,4,0.8667396819692479,0.8650331574123356,-0.0017065245569123366,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,network_10_00Hz,10.0,5,0.8876093156930329,0.8881344211109372,0.0005251054179042924,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,network_10_00Hz,10.0,6,0.910936946961059,0.9097068003721747,-0.0012301465888843177,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,network_10_00Hz,10.0,7,0.7278565861527737,0.7230579290521386,-0.004798657100635095,,,,,,,,,,,,
