mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators
0.3296548506965412,0.5090116197101252,0.0,0.0,0.315380411630181,network_10_00Hz,10.0,12,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.12911818534124025,0.37294886260020854,0.0,0.0,0.009097374764408177,network_10_00Hz,10.0,12,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1786608046104004,0.4407936956990528,0.0,0.0,0.03172861632705802,network_10_00Hz,10.0,12,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.13515711889552892,0.44424684057923064,0.0,0.0,0.0034132633028344165,network_10_00Hz,10.0,12,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.26050982383310234,0.5030936799353876,0.0,0.0,0.17872158653810247,network_10_00Hz,10.0,12,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.12622291427641857,0.3629827002638847,0.0,0.0,0.02884044859862251,network_10_00Hz,10.0,12,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1304301826435397,0.37397623578206124,0.0,0.0,,network_10_00Hz,10.0,12,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.1377752649366297,0.3741085666945243,0.0,0.0,0.02042003132369622,network_10_00Hz,10.0,12,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2840576406345691,0.4480514602138015,0.0,0.0,0.266997617262381,network_10_00Hz,10.0,13,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14093834246920262,0.29084018410858525,0.0,0.0,0.010852734660854943,network_10_00Hz,10.0,13,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.17625695484654705,0.41684386405939305,0.0,0.0,0.03894265135994767,network_10_00Hz,10.0,13,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1428454381038503,0.27951614031731775,0.0,0.0,0.010843555684332724,network_10_00Hz,10.0,13,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.2338769585909521,0.4225222910892233,0.0,0.0,0.18750845728385906,network_10_00Hz,10.0,13,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14221249834138572,0.29664842795704943,0.0,0.0,0.03540729425021316,network_10_00Hz,10.0,13,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14077074329064562,0.28649283393350156,0.0,0.0,,network_10_00Hz,10.0,13,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.14191603353296586,0.30562903424869226,0.0,0.0,0.002485688662827265,network_10_00Hz,10.0,13,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.30843869605926955,0.5037686126185873,0.0,0.0,0.2975919015395618,network_10_00Hz,10.0,14,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1888447525998026,0.38854394727119534,0.0,0.0,0.010426346799180128,network_10_00Hz,10.0,14,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.205870500425203,0.38175221086034583,0.0,0.0,0.05461064459508121,network_10_00Hz,10.0,14,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.17987067774933801,0.3584844703359177,0.0,0.0,0.00473796159203693,network_10_00Hz,10.0,14,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.3083587804945856,0.5518153362202929,0.003,0.0,0.25799689557409083,network_10_00Hz,10.0,14,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
